#,Category,Tool Name,Description,HTTP Method,Graph API Endpoint (relative to https://graph.microsoft.com/{version}),API Version,Required Application Permission,Access Type,Status
166,Windows Update,list_update_rings,List Windows 10/11 update rings,GET,/deviceManagement/deviceConfigurations?$filter=...(windowsUpdateForBusinessConfiguration),v1.0,DeviceManagementConfiguration.Read.All,Read,TO ADD
167,Windows Update,get_update_ring,Get a specific Windows update ring,GET,/deviceManagement/deviceConfigurations/{id} (windowsUpdateForBusinessConfiguration),v1.0,DeviceManagementConfiguration.Read.All,Read,TO ADD
168,Windows Update,create_update_ring,Create a Windows update ring policy,POST,/deviceManagement/deviceConfigurations,v1.0,DeviceManagementConfiguration.ReadWrite.All,Read.Write,TO ADD
169,Windows Update,update_update_ring,Update an existing update ring,PATCH,/deviceManagement/deviceConfigurations/{id},v1.0,DeviceManagementConfiguration.ReadWrite.All,Read.Write,TO ADD
170,Windows Update,delete_update_ring,Delete a Windows update ring (confirm=True),DELETE,/deviceManagement/deviceConfigurations/{id},v1.0,DeviceManagementConfiguration.ReadWrite.All,Read.Write,TO ADD
171,Windows Update,list_feature_update_policies,List Windows feature update profiles,GET,/deviceManagement/windowsFeatureUpdateProfiles,beta,DeviceManagementConfiguration.Read.All,Read,TO ADD
172,Windows Update,get_feature_update_policy,Get a feature update profile by ID,GET,/deviceManagement/windowsFeatureUpdateProfiles/{id},beta,DeviceManagementConfiguration.Read.All,Read,TO ADD
173,Windows Update,create_feature_update_policy,Create a feature update profile,POST,/deviceManagement/windowsFeatureUpdateProfiles,beta,DeviceManagementConfiguration.ReadWrite.All,Read.Write,TO ADD
174,Windows Update,list_quality_update_policies,List Windows quality (expedite) update policies,GET,/deviceManagement/windowsQualityUpdateProfiles,beta,DeviceManagementConfiguration.Read.All,Read,TO ADD
175,Windows Update,list_driver_update_policies,List Windows driver update profiles,GET,/deviceManagement/windowsDriverUpdateProfiles,beta,DeviceManagementConfiguration.Read.All,Read,TO ADD
176,Advanced Device Actions,locate_device,Trigger device location on GPS-enabled devices,POST,/deviceManagement/managedDevices/{id}/locateDevice,v1.0,DeviceManagementManagedDevices.ReadWrite.All,Read.Write,TO ADD
177,Advanced Device Actions,reset_passcode,Reset device passcode (iOS/Android),POST,/deviceManagement/managedDevices/{id}/resetPasscode,v1.0,DeviceManagementManagedDevices.ReadWrite.All,Read.Write,TO ADD
178,Advanced Device Actions,bypass_activation_lock,Bypass iOS Activation Lock,POST,/deviceManagement/managedDevices/{id}/bypassActivationLock,v1.0,DeviceManagementManagedDevices.ReadWrite.All,Read.Write,TO ADD
179,Advanced Device Actions,enable_lost_mode,Enable iOS Lost Mode with message,POST,/deviceManagement/managedDevices/{id}/enableLostMode,v1.0,DeviceManagementManagedDevices.ReadWrite.All,Read.Write,TO ADD
180,Advanced Device Actions,disable_lost_mode,Disable iOS Lost Mode,POST,/deviceManagement/managedDevices/{id}/disableLostMode,v1.0,DeviceManagementManagedDevices.ReadWrite.All,Read.Write,TO ADD
181,Advanced Device Actions,collect_diagnostics,Collect device diagnostics (logs),POST,/deviceManagement/managedDevices/{id}/collectDiagnostics,v1.0,DeviceManagementManagedDevices.ReadWrite.All,Read.Write,TO ADD
182,Advanced Device Actions,windows_defender_scan,Trigger Windows Defender full/quick scan,POST,/deviceManagement/managedDevices/{id}/windowsDefenderScan,v1.0,DeviceManagementManagedDevices.ReadWrite.All,Read.Write,TO ADD
183,Advanced Device Actions,windows_defender_update_signatures,Update Windows Defender signatures,POST,/deviceManagement/managedDevices/{id}/windowsDefenderUpdateSignatures,v1.0,DeviceManagementManagedDevices.ReadWrite.All,Read.Write,TO ADD
184,Advanced Device Actions,clean_windows_device,Clean Windows 10/11 device (keep user data option),POST,/deviceManagement/managedDevices/{id}/cleanWindowsDevice,v1.0,DeviceManagementManagedDevices.ReadWrite.All,Read.Write,TO ADD
185,Advanced Device Actions,send_custom_notification,Send a custom push notification to a device/user,POST,/deviceManagement/managedDevices/{id}/sendCustomNotificationToCompanyPortal,beta,DeviceManagementManagedDevices.ReadWrite.All,Read.Write,TO ADD
186,Advanced Device Actions,trigger_configuration_manager_action,Trigger ConfigMgr action on co-managed device,POST,/deviceManagement/managedDevices/{id}/triggerConfigurationManagerAction,beta,DeviceManagementManagedDevices.ReadWrite.All,Read.Write,TO ADD
187,Advanced Device Actions,update_windows_device_account,Update account on Windows device,POST,/deviceManagement/managedDevices/{id}/updateWindowsDeviceAccount,v1.0,DeviceManagementManagedDevices.ReadWrite.All,Read.Write,TO ADD
188,Advanced Device Actions,get_device_log_collection_requests,List diagnostic log collection requests,GET,/deviceManagement/managedDevices/{id}/logCollectionRequests,beta,DeviceManagementManagedDevices.Read.All,Read,TO ADD
189,Device Encryption & BitLocker,get_bitlocker_recovery_keys,List BitLocker recovery keys for tenant,GET,/informationProtection/bitlocker/recoveryKeys,v1.0,BitLockerKey.Read.All,Read,TO ADD
190,Device Encryption & BitLocker,get_bitlocker_recovery_key,Get a specific BitLocker recovery key with value,GET,/informationProtection/bitlocker/recoveryKeys/{id}?$select=key,v1.0,BitLockerKey.ReadBasic.All,Read,TO ADD
191,Device Encryption & BitLocker,get_filevault_key,Get macOS FileVault recovery key for a device,GET,/deviceManagement/managedDevices/{id}/getFileVaultKey,beta,DeviceManagementManagedDevices.Read.All,Read,TO ADD
192,Device Encryption & BitLocker,get_encryption_report,Device encryption status report,POST,/deviceManagement/reports/exportJobs (DeviceEncryption),beta,DeviceManagementManagedDevices.Read.All,Read,TO ADD
193,RBAC,list_rbac_role_definitions,List all Intune role definitions (built-in + custom),GET,/deviceManagement/roleDefinitions,v1.0,DeviceManagementRBAC.Read.All,Read,TO ADD
194,RBAC,get_rbac_role_definition,Get a specific role definition,GET,/deviceManagement/roleDefinitions/{id},v1.0,DeviceManagementRBAC.Read.All,Read,TO ADD
195,RBAC,create_custom_role,Create a custom Intune RBAC role,POST,/deviceManagement/roleDefinitions,v1.0,DeviceManagementRBAC.ReadWrite.All,Read.Write,TO ADD
196,RBAC,update_custom_role,Update a custom role definition,PATCH,/deviceManagement/roleDefinitions/{id},v1.0,DeviceManagementRBAC.ReadWrite.All,Read.Write,TO ADD
197,RBAC,delete_custom_role,Delete a custom role (confirm=True),DELETE,/deviceManagement/roleDefinitions/{id},v1.0,DeviceManagementRBAC.ReadWrite.All,Read.Write,TO ADD
198,RBAC,list_role_assignments,List all role assignments,GET,/deviceManagement/roleAssignments,v1.0,DeviceManagementRBAC.Read.All,Read,TO ADD
199,RBAC,create_role_assignment,Assign a role to user/group with scope,POST,/deviceManagement/roleAssignments,v1.0,DeviceManagementRBAC.ReadWrite.All,Read.Write,TO ADD
200,RBAC,delete_role_assignment,Remove a role assignment,DELETE,/deviceManagement/roleAssignments/{id},v1.0,DeviceManagementRBAC.ReadWrite.All,Read.Write,TO ADD
201,Filters & Scope Tags,list_assignment_filters,List all assignment filters,GET,/deviceManagement/assignmentFilters,v1.0,DeviceManagementConfiguration.Read.All,Read,TO ADD
202,Filters & Scope Tags,get_assignment_filter,Get a specific assignment filter,GET,/deviceManagement/assignmentFilters/{id},v1.0,DeviceManagementConfiguration.Read.All,Read,TO ADD
203,Filters & Scope Tags,create_assignment_filter,Create a new assignment filter,POST,/deviceManagement/assignmentFilters,v1.0,DeviceManagementConfiguration.ReadWrite.All,Read.Write,TO ADD
204,Filters & Scope Tags,update_assignment_filter,Update an assignment filter,PATCH,/deviceManagement/assignmentFilters/{id},v1.0,DeviceManagementConfiguration.ReadWrite.All,Read.Write,TO ADD
205,Filters & Scope Tags,delete_assignment_filter,Delete an assignment filter (confirm=True),DELETE,/deviceManagement/assignmentFilters/{id},v1.0,DeviceManagementConfiguration.ReadWrite.All,Read.Write,TO ADD
206,Filters & Scope Tags,list_scope_tags,List all Intune scope tags,GET,/deviceManagement/roleScopeTags,v1.0,DeviceManagementRBAC.Read.All,Read,TO ADD
207,Filters & Scope Tags,create_scope_tag,Create a new scope tag,POST,/deviceManagement/roleScopeTags,v1.0,DeviceManagementRBAC.ReadWrite.All,Read.Write,TO ADD
208,Filters & Scope Tags,delete_scope_tag,Delete a scope tag (confirm=True),DELETE,/deviceManagement/roleScopeTags/{id},v1.0,DeviceManagementRBAC.ReadWrite.All,Read.Write,TO ADD
209,Token Management,list_vpp_tokens,List Apple VPP (Volume Purchase Program) tokens,GET,/deviceAppManagement/vppTokens,v1.0,DeviceManagementApps.Read.All,Read,TO ADD
210,Token Management,get_vpp_token,Get a specific VPP token,GET,/deviceAppManagement/vppTokens/{id},v1.0,DeviceManagementApps.Read.All,Read,TO ADD
211,Token Management,sync_vpp_token,Trigger sync for an Apple VPP token,POST,/deviceAppManagement/vppTokens/{id}/syncLicenses,v1.0,DeviceManagementApps.ReadWrite.All,Read.Write,TO ADD
212,Token Management,list_dep_onboarding_settings,List Apple DEP/ADE enrollment tokens,GET,/deviceManagement/depOnboardingSettings,v1.0,DeviceManagementServiceConfig.Read.All,Read,TO ADD
213,Token Management,sync_dep_token,Trigger sync for an Apple DEP/ADE token,POST,/deviceManagement/depOnboardingSettings/{id}/syncWithAppleDeviceEnrollmentProgram,v1.0,DeviceManagementServiceConfig.ReadWrite.All,Read.Write,TO ADD
214,Token Management,list_android_enterprise_accounts,List Android Enterprise enrollment accounts,GET,/deviceManagement/androidManagedStoreAccountEnterpriseSettings,v1.0,DeviceManagementConfiguration.Read.All,Read,TO ADD
215,App Config & MAM,list_app_config_policies,List all managed app configuration policies,GET,/deviceAppManagement/targetedManagedAppConfigurations,v1.0,DeviceManagementApps.Read.All,Read,TO ADD
216,App Config & MAM,get_app_config_policy,Get a specific app configuration policy,GET,/deviceAppManagement/targetedManagedAppConfigurations/{id},v1.0,DeviceManagementApps.Read.All,Read,TO ADD
217,App Config & MAM,create_app_config_policy,Create an app configuration policy (iOS/Android),POST,/deviceAppManagement/targetedManagedAppConfigurations,v1.0,DeviceManagementApps.ReadWrite.All,Read.Write,TO ADD
218,App Config & MAM,update_app_config_policy,Update an app configuration policy,PATCH,/deviceAppManagement/targetedManagedAppConfigurations/{id},v1.0,DeviceManagementApps.ReadWrite.All,Read.Write,TO ADD
219,App Config & MAM,delete_app_config_policy,Delete an app config policy (confirm=True),DELETE,/deviceAppManagement/targetedManagedAppConfigurations/{id},v1.0,DeviceManagementApps.ReadWrite.All,Read.Write,TO ADD
220,App Config & MAM,create_app_protection_policy,Create an app protection (MAM) policy,POST,/deviceAppManagement/iosManagedAppProtections,v1.0,DeviceManagementApps.ReadWrite.All,Read.Write,TO ADD
221,App Config & MAM,update_app_protection_policy,Update an app protection policy,PATCH,/deviceAppManagement/iosManagedAppProtections/{id},v1.0,DeviceManagementApps.ReadWrite.All,Read.Write,TO ADD
222,App Config & MAM,delete_app_protection_policy,Delete an app protection policy (confirm=True),DELETE,/deviceAppManagement/iosManagedAppProtections/{id},v1.0,DeviceManagementApps.ReadWrite.All,Read.Write,TO ADD
223,App Config & MAM,create_mobile_app,Upload/create a new mobile app in Intune,POST,/deviceAppManagement/mobileApps,v1.0,DeviceManagementApps.ReadWrite.All,Read.Write,TO ADD
224,App Config & MAM,update_mobile_app,Update an existing mobile app metadata,PATCH,/deviceAppManagement/mobileApps/{id},v1.0,DeviceManagementApps.ReadWrite.All,Read.Write,TO ADD
225,App Config & MAM,delete_mobile_app,Delete an app from Intune (confirm=True),DELETE,/deviceAppManagement/mobileApps/{id},v1.0,DeviceManagementApps.ReadWrite.All,Read.Write,TO ADD
226,App Config & MAM,list_discovered_apps,List all apps discovered across managed devices,GET,/deviceAppManagement/detectedApps,v1.0,DeviceManagementApps.Read.All,Read,TO ADD
227,App Config & MAM,get_managed_app_registrations,List managed app registrations (MAM enrollment),GET,/deviceAppManagement/managedAppRegistrations,v1.0,DeviceManagementApps.Read.All,Read,TO ADD
228,Autopilot,create_autopilot_profile,Create an Autopilot deployment profile,POST,/deviceManagement/windowsAutopilotDeploymentProfiles,v1.0,DeviceManagementServiceConfig.ReadWrite.All,Read.Write,TO ADD
229,Autopilot,update_autopilot_profile,Update an Autopilot deployment profile,PATCH,/deviceManagement/windowsAutopilotDeploymentProfiles/{id},v1.0,DeviceManagementServiceConfig.ReadWrite.All,Read.Write,TO ADD
230,Autopilot,delete_autopilot_profile,Delete an Autopilot profile (confirm=True),DELETE,/deviceManagement/windowsAutopilotDeploymentProfiles/{id},v1.0,DeviceManagementServiceConfig.ReadWrite.All,Read.Write,TO ADD
231,Autopilot,assign_autopilot_profile,Assign Autopilot profile to device/group,POST,/deviceManagement/windowsAutopilotDeploymentProfiles/{id}/assignments,v1.0,DeviceManagementServiceConfig.ReadWrite.All,Read.Write,TO ADD
232,Autopilot,import_autopilot_device,Import Autopilot device via hardware hash,POST,/deviceManagement/importedWindowsAutopilotDeviceIdentities,v1.0,DeviceManagementServiceConfig.ReadWrite.All,Read.Write,TO ADD
233,Autopilot,delete_autopilot_device,Delete an Autopilot device registration,DELETE,/deviceManagement/windowsAutopilotDeviceIdentities/{id},v1.0,DeviceManagementServiceConfig.ReadWrite.All,Read.Write,TO ADD
234,Autopilot,get_autopilot_deployment_status,Get Autopilot deployment state for a device,GET,/deviceManagement/autopilotEvents,beta,DeviceManagementServiceConfig.Read.All,Read,TO ADD
235,Autopilot,list_enrollment_status_page_profiles,List Enrollment Status Page (ESP) profiles,GET,/deviceManagement/deviceEnrollmentConfigurations?$filter=...,v1.0,DeviceManagementServiceConfig.Read.All,Read,TO ADD
236,Scripts & Remediations,create_device_management_script,Upload a new PowerShell script to Intune,POST,/deviceManagement/deviceManagementScripts,beta,DeviceManagementConfiguration.ReadWrite.All,Read.Write,TO ADD
237,Scripts & Remediations,update_device_management_script,Update an existing PowerShell script,PATCH,/deviceManagement/deviceManagementScripts/{id},beta,DeviceManagementConfiguration.ReadWrite.All,Read.Write,TO ADD
238,Scripts & Remediations,delete_device_management_script,Delete a PowerShell script (confirm=True),DELETE,/deviceManagement/deviceManagementScripts/{id},beta,DeviceManagementConfiguration.ReadWrite.All,Read.Write,TO ADD
239,Scripts & Remediations,assign_device_management_script,Assign a PowerShell script to groups,POST,/deviceManagement/deviceManagementScripts/{id}/assignments,beta,DeviceManagementConfiguration.ReadWrite.All,Read.Write,TO ADD
240,Scripts & Remediations,create_device_health_script,Create a new proactive remediation script,POST,/deviceManagement/deviceHealthScripts,beta,DeviceManagementConfiguration.ReadWrite.All,Read.Write,TO ADD
241,Scripts & Remediations,update_device_health_script,Update an existing remediation script,PATCH,/deviceManagement/deviceHealthScripts/{id},beta,DeviceManagementConfiguration.ReadWrite.All,Read.Write,TO ADD
242,Scripts & Remediations,delete_device_health_script,Delete a remediation script (confirm=True),DELETE,/deviceManagement/deviceHealthScripts/{id},beta,DeviceManagementConfiguration.ReadWrite.All,Read.Write,TO ADD
243,Scripts & Remediations,assign_device_health_script,Assign a remediation script to groups,POST,/deviceManagement/deviceHealthScripts/{id}/assignments,beta,DeviceManagementConfiguration.ReadWrite.All,Read.Write,TO ADD
244,Scripts & Remediations,list_macOS_scripts,List macOS shell scripts in Intune,GET,/deviceManagement/deviceShellScripts,beta,DeviceManagementConfiguration.Read.All,Read,TO ADD
245,Scripts & Remediations,create_macOS_script,Upload a new macOS shell script,POST,/deviceManagement/deviceShellScripts,beta,DeviceManagementConfiguration.ReadWrite.All,Read.Write,TO ADD
246,Enrollment,create_enrollment_restriction,Create an enrollment restriction policy,POST,/deviceManagement/deviceEnrollmentConfigurations,v1.0,DeviceManagementServiceConfig.ReadWrite.All,Read.Write,TO ADD
247,Enrollment,update_enrollment_restriction,Update an enrollment restriction,PATCH,/deviceManagement/deviceEnrollmentConfigurations/{id},v1.0,DeviceManagementServiceConfig.ReadWrite.All,Read.Write,TO ADD
248,Enrollment,delete_enrollment_restriction,Delete an enrollment restriction (confirm=True),DELETE,/deviceManagement/deviceEnrollmentConfigurations/{id},v1.0,DeviceManagementServiceConfig.ReadWrite.All,Read.Write,TO ADD
249,Enrollment,assign_enrollment_restriction,Assign enrollment restriction to groups,POST,/deviceManagement/deviceEnrollmentConfigurations/{id}/assign,v1.0,DeviceManagementServiceConfig.ReadWrite.All,Read.Write,TO ADD
250,Enrollment,list_enrollment_profiles,List macOS/iOS enrollment profiles (DEP),GET,/deviceManagement/depOnboardingSettings/{id}/enrollmentProfiles,v1.0,DeviceManagementServiceConfig.Read.All,Read,TO ADD
251,Enrollment,get_enrollment_failures_report,Report of enrollment failures,POST,/deviceManagement/reports/exportJobs (DeviceEnrollmentFailures),beta,DeviceManagementServiceConfig.Read.All,Read,TO ADD
252,Conditional Access,create_conditional_access_policy,Create a new Conditional Access policy,POST,/identity/conditionalAccess/policies,v1.0,Policy.ReadWrite.ConditionalAccess,Read.Write,TO ADD
253,Conditional Access,update_conditional_access_policy,Update a Conditional Access policy,PATCH,/identity/conditionalAccess/policies/{id},v1.0,Policy.ReadWrite.ConditionalAccess,Read.Write,TO ADD
254,Conditional Access,delete_conditional_access_policy,Delete a CA policy (confirm=True),DELETE,/identity/conditionalAccess/policies/{id},v1.0,Policy.ReadWrite.ConditionalAccess,Read.Write,TO ADD
255,Conditional Access,create_named_location,Create a named location (IP or country),POST,/identity/conditionalAccess/namedLocations,v1.0,Policy.ReadWrite.ConditionalAccess,Read.Write,TO ADD
256,Conditional Access,update_named_location,Update a named location,PATCH,/identity/conditionalAccess/namedLocations/{id},v1.0,Policy.ReadWrite.ConditionalAccess,Read.Write,TO ADD
257,Conditional Access,delete_named_location,Delete a named location (confirm=True),DELETE,/identity/conditionalAccess/namedLocations/{id},v1.0,Policy.ReadWrite.ConditionalAccess,Read.Write,TO ADD
258,Authentication & Identity Protection,delete_user_authentication_method,Remove an auth method (e.g. FIDO key),DELETE,/users/{id}/authentication/methods/{methodId},v1.0,UserAuthenticationMethod.ReadWrite.All,Read.Write,TO ADD
259,Authentication & Identity Protection,require_mfa_re_register,Require user to re-register MFA,POST,/users/{id}/authentication/methods,beta,UserAuthenticationMethod.ReadWrite.All,Read.Write,TO ADD
260,Authentication & Identity Protection,confirm_risky_users,Confirm users as compromised,POST,/identityProtection/riskyUsers/confirmCompromised,v1.0,IdentityRiskyUser.ReadWrite.All,Read.Write,TO ADD
261,Authentication & Identity Protection,get_authentication_methods_policy,Get tenant-wide authentication methods policy,GET,/policies/authenticationMethodsPolicy,v1.0,Policy.Read.All,Read,TO ADD
262,Windows 365 Cloud PC,resize_cloud_pc,Resize (upgrade) a Cloud PC,POST,/deviceManagement/virtualEndpoint/cloudPCs/{id}/resize,beta,CloudPC.ReadWrite.All,Read.Write,TO ADD
263,Windows 365 Cloud PC,restore_cloud_pc,Restore Cloud PC from snapshot,POST,/deviceManagement/virtualEndpoint/cloudPCs/{id}/restore,v1.0,CloudPC.ReadWrite.All,Read.Write,TO ADD
264,Windows 365 Cloud PC,troubleshoot_cloud_pc,Trigger troubleshoot action on Cloud PC,POST,/deviceManagement/virtualEndpoint/cloudPCs/{id}/troubleshoot,v1.0,CloudPC.ReadWrite.All,Read.Write,TO ADD
265,Windows 365 Cloud PC,list_cloud_pc_snapshots,List available snapshots for a Cloud PC,GET,/deviceManagement/virtualEndpoint/cloudPCs/{id}/snapshots,beta,CloudPC.Read.All,Read,TO ADD
266,Windows 365 Cloud PC,create_provisioning_policy,Create a Cloud PC provisioning policy,POST,/deviceManagement/virtualEndpoint/provisioningPolicies,v1.0,CloudPC.ReadWrite.All,Read.Write,TO ADD
267,Windows 365 Cloud PC,assign_provisioning_policy,Assign a provisioning policy to groups,POST,/deviceManagement/virtualEndpoint/provisioningPolicies/{id}/assign,v1.0,CloudPC.ReadWrite.All,Read.Write,TO ADD
268,Windows 365 Cloud PC,list_on_premises_connections,List Azure network connections for Cloud PC,GET,/deviceManagement/virtualEndpoint/onPremisesConnections,v1.0,CloudPC.Read.All,Read,TO ADD
269,Windows 365 Cloud PC,get_cloud_pc_audit_events,Get Cloud PC audit event logs,GET,/deviceManagement/virtualEndpoint/auditEvents,beta,CloudPC.Read.All,Read,TO ADD
270,Tenant Administration,get_message_center_posts,M365 message center / advisory posts,GET,/admin/serviceAnnouncement/messages,v1.0,ServiceHealth.Read.All,Read,TO ADD
271,Tenant Administration,get_planned_maintenance,List planned maintenance events,GET,/admin/serviceAnnouncement/messages?$filter=...(maintenance),v1.0,ServiceHealth.Read.All,Read,TO ADD
272,Tenant Administration,remove_directory_role_member,Remove a member from a directory role,DELETE,/directoryRoles/{id}/members/{memberId}/$ref,v1.0,RoleManagement.ReadWrite.Directory,Read.Write,TO ADD
273,Tenant Administration,list_terms_of_use,List Terms of Use agreements,GET,/agreements,v1.0,Agreement.Read.All,Read,TO ADD
274,Tenant Administration,create_terms_of_use,Create a Terms of Use agreement,POST,/agreements,v1.0,Agreement.ReadWrite.All,Read.Write,TO ADD
275,Tenant Administration,get_cross_tenant_access_policy,Get cross-tenant access (B2B) policy,GET,/policies/crossTenantAccessPolicy,v1.0,Policy.Read.All,Read,TO ADD
276,Reports,get_endpoint_analytics_score,Get Endpoint Analytics baseline scores,GET,/deviceManagement/userExperienceAnalyticsBaselines,beta,DeviceManagementManagedDevices.Read.All,Read,TO ADD
277,Reports,get_startup_performance_report,Startup performance data (device boot times),GET,/deviceManagement/userExperienceAnalyticsDeviceStartupHistory,beta,DeviceManagementManagedDevices.Read.All,Read,TO ADD
278,Reports,get_app_reliability_report,Application reliability (crash) scores,GET,/deviceManagement/userExperienceAnalyticsAppHealthApplicationPerformance,beta,DeviceManagementManagedDevices.Read.All,Read,TO ADD
279,Reports,get_work_from_anywhere_report,Work from anywhere report (Windows readiness),POST,/deviceManagement/reports/exportJobs (WorkFromAnywhereDeviceList),beta,DeviceManagementManagedDevices.Read.All,Read,TO ADD
280,Reports,get_app_inventory_report,App inventory (all apps across devices) export,POST,/deviceManagement/reports/exportJobs (AppInvAggregate),beta,DeviceManagementApps.Read.All,Read,TO ADD
281,Reports,get_certificate_report,Device certificate status and expiry report,POST,/deviceManagement/reports/exportJobs (AllDeviceCertificates),beta,DeviceManagementManagedDevices.Read.All,Read,TO ADD
282,Reports,get_co_management_report,Co-management eligibility/status report,GET,/deviceManagement/managedDevices?$select=...(managementAgent&joinType),v1.0,DeviceManagementManagedDevices.Read.All,Read,TO ADD
